event_id,fire_year,year,fitted_nbr
CA4059212068919850708,1985,1999,-0.04608682939236359
CA3665912086319860602,1986,1999,0.002083786227644741
CA3389911714619860529,1986,1999,0.08131901102578673
CA4184912355119870830,1987,1999,-0.17903653083721277
CA3600012102719870707,1987,1999,-0.06619816088342732
CA3362611673419880602,1988,1999,-0.053256882804265354
CA3879412296619880824,1988,1999,-0.185401926294312
CA3407511899419891029,1989,1999,-0.062246187987946365
CA3464911838419890628,1989,1999,-0.07385848890809654
CA4033912181119900809,1990,1999,-0.11443754237717882
CA3305811714419900910,1990,1999,-0.03087186201281664
CA3655211908319910922,1991,1999,-0.09682788335518283
CA3876512278719911020,1991,1999,-0.2162002309485844
CA3592712121419920821,1992,1999,-0.06266133933735638
CA3622012145819920801,1992,1999,-0.13324488121214562
CA3411411897719931026,1993,1999,-0.07085960541658588
CA3407011864919931102,1993,1999,-0.12080278767008487
CA3765511953619940809,1994,1999,-0.07117474350651873
CA3715011953419940912,1994,1999,-0.09056307548702013
CA3805012286419951003,1995,1999,-0.24066785159859713
CA3515211854719950829,1995,1999,-0.06300941806623651
CA3520911991019960520,1996,1999,0.0013967656375089333
CA3791311981819960814,1996,1999,-0.10788882095004776
CA3344711729819970904,1997,1999,-0.034575765414605705
CA3471012049419970927,1997,1999,-0.06162806623050649
CA3442211887219981018,1998,1999,-0.006014247502216344
CA3688212081319980710,1998,1999,-0.06732223844626939
CA3975712171519990823,1999,1999,-0.1288470761285086
CA3784511998419990823,1999,1999,-0.15773361749279394
CA3625712072920000803,2000,1999,-0.12397849946221798
CA3771612024820000702,2000,1999,-0.07097487226736221
CA3777211886020010702,2001,1999,-0.05464056781808029
CA3396111727920010623,2001,1999,0.06266858763421354
CA4146112251620020713,2002,1999,-0.12593396841103383
CA3474011878120020618,2002,1999,-0.03762885473493416
CA3500511465220030716,2003,1999,-0.09441711904981898
CA3976112013320030720,2003,1999,-0.008403655876100275
CA3796411972720041015,2004,1999,-0.1222582344488387
CA3376011738120040503,2004,1999,0.05977373646715116
CA3937412284420050809,2005,1999,-0.20395431332242137
CA3508611531720050622,2005,1999,0.0007302135171004928
CA3605012069320060722,2006,1999,-0.061743437173826264
CA3528111983720060711,2006,1999,0.012882355432660822
CA3338411718020071022,2007,1999,-0.08631684439666502
CA3757311966320071029,2007,1999,-0.23885652349408726
CA3976512124820080622,2008,1999,-0.3143498175579431
CA3391911775320081115,2008,1999,-0.0343582091105859
CA4156612316620090821,2009,1999,-0.2102647591141465
CA3419711786020090825,2009,1999,-0.12551962679380807
CA3334311736220100713,2010,1999,0.052126298882856734
CA3790211905120100726,2010,1999,-0.0006464485520178755
CA3309811647820111001,2011,1999,-0.059132074256566886
CA3713411828320110913,2011,1999,0.008298596041829684
CA3355611691120120814,2012,1999,-0.0005361943009173653
CA3260811624320120517,2012,1999,0.019355397135263474
CA4018812160120130501,2013,1999,-0.223128510656388
CA3881312282620131122,2013,1999,-0.16685182344873253
CA3976812365020140730,2014,1999,-0.32244334635319855
